,,,
,,,
Faucet Inventory Results,,,NaN <1 = less than 1 part per billion
,,,
Location / Room Number,Outlet Type,Floor Number,Result # (ppb)
Imagination Inn 2nd Floor Yellow Room Bathroom Sink Right,Bathroom Faucet,2,Tested under daycare licensing requirements.
Imagination Inn 2nd Floor Yellow Room Kitchen Sink,Kitchen Faucet,2,Tested under daycare licensing requirements.
Ives Apt 1st FL Bathroom Sink,Bathroom Faucet,1,3
Ives Apt 2nd FL Bathroom Sink,Bathroom Faucet,2,3.5
Ives dorm 1st floor bathroom sink,Bathroom Faucet,1,7.7
Ives dorm 2nd floor bathroom sink left,Bathroom Faucet,2,3.2
Ives dorm 2nd floor bathroom sink right,Bathroom Faucet,2,2.4
Ives dorm 3rd floor bathroom sink left,Bathroom Faucet,3,3.1
Ives dorm 3rd floor bathroom sink right,Bathroom Faucet,3,1.8
JAK APT kitchen sink Johnson,Kitchen Faucet,1,6.6
JDC Johnson Dorm Common RM Sink,Kitchen Faucet,1,5.1
Johnson Apt 1st FL Bathroom Sink,Bathroom Faucet,1,17
Johnson Apt 2nd FL Bathroom Sink,Bathroom Faucet,2,3.6
Johnson Dorm 1st FL Bathroom Sink Left,Bathroom Faucet,1,15
Johnson Dorm 1st FL Bathroom Sink Right,Bathroom Faucet,1,12
Johnson Dorm 2nd FL Bathroom Sink Left,Bathroom Faucet,2,13
Johnson Dorm 2nd FL Bathroom Sink Right,Bathroom Faucet,2,7.6
KAK Apt. kitchen sink king Apt,Kitchen Faucet,1,9.3
KDC Dorm common Rm sink king,Kitchen Faucet,1,40
King Apt 2nd floor bathroom sink,Bathroom Faucet,2,10
King dorm bathroom sink left,Bathroom Faucet,1,5.1
King dorm bathroom sink right,Bathroom Faucet,1,5.9
Learning center 3rd floor bottle fill station west,Drinking Fountain,3,1.1
Learning center basement Ellen hackeman’s office sink,Kitchen Faucet,1,1.3
Learning center library office kitchenette sink,Kitchen Faucet,2,1.3
MACAK Apt Kitchen Sink Mac,Kitchen Faucet,1,4.8
MACDC DORM COMMON RM SINK MACKENZIE,Kitchen Faucet,1,3.2
Mackenzie house 2nd floor bathroom sink,Bathroom Faucet,2,9.1
Mackenzie house dorm 1st floor bathroom sink left,Bathroom Faucet,1,5.8
Mackenzie house dorm 1st floor bathroom sink right,Bathroom Faucet,1,3.6
Mackenzie house dorm 2nd floor bathroom sink left,Bathroom Faucet,2,1.4
Mackenzie house dorm 2nd floor bathroom sink right,Bathroom Faucet,2,4.7
Mackenzie Hse 1st FL Bathroom Sink,Bathroom Faucet,1,5.3
Maintenance Break Room Refrigerator,Refrigerator,1,NaN <1
Maintenance Break Room Sink,Kitchen Faucet,1,4
Maxwell 3rd Floor Bathroom,Bathroom Faucet,3,7.4
MBS Bathroom sink music,Bathroom Faucet,1,6.7
Meeting house boys dressing room left sink,Bathroom Faucet,Basement,73
Meeting house boys dressing room right sink,Bathroom Faucet,Basement,40
Meeting house girls dressing room left sink,Bathroom Faucet,Basement,8.3
Meeting house girls dressing room right sink,Bathroom Faucet,Basement,15
Meeting house green room sink,Kitchen Faucet,Basement,11
MFLS Faculty Lounge Sink Maxwell,Kitchen Faucet,2,3.1
MFLWC Faculty Lounge Water Cooler Maxwell,Drinking Fountain,2,NaN <1
MLS AAK Apt A Kitchen Sink MLS Apt A,Kitchen Faucet,1,2.5
MLS ABK Apt B Kitchen Sink MLS Apt B,Kitchen Faucet,3,Testing on 2/5/24
MLS Apt 1st FL Bathroom Sink,Bathroom Faucet,1,7.5
MLS Apt 3rd FL Bathroom Sink,Bathroom Faucet,3,Testing on 2/5/24
